file,question,score
n01-sor-et31-p05-c03.txt,Q3,7.05714285714286
n01-sor-et31-p05-c03.txt,Q4,7.34285714285714
n01-sor-et31-p05-c03.txt,Q5,7.02857142857143
n01-sor-et31-p05-c03.txt,Q6,6.54285714285714
n01-sor-et31-p05-c03.txt,Q7,7.68571428571429
n01-sor-et31-p05-c03.txt,Q8,6.88571428571429
n01-sor-et31-p05-c03.txt,Q9,6.54285714285714
n01-sor-et31-p05-c04.txt,Q1,7.45
n01-sor-et31-p05-c04.txt,Q2,7.5
n01-sor-et31-p05-c04.txt,Q3,7.625
n01-sor-et31-p05-c04.txt,Q4,8.1
n01-sor-et31-p05-c04.txt,Q5,7.3
n01-sor-et31-p05-c04.txt,Q6,7.05
n01-sor-et31-p05-c04.txt,Q7,8.075
n01-sor-et31-p05-c04.txt,Q8,7.55
n01-sor-et31-p05-c04.txt,Q9,7.225
n01-sor-et31-p05-c05.txt,Q1,7.80487804878049
n01-sor-et31-p05-c05.txt,Q2,5.36585365853659
n01-sor-et31-p05-c05.txt,Q3,6.58536585365854
n01-sor-et31-p05-c05.txt,Q4,7.78048780487805
n01-sor-et31-p05-c05.txt,Q5,8.19512195121951
n01-sor-et31-p05-c05.txt,Q6,7.87804878048781
n01-sor-et31-p05-c05.txt,Q7,7.82926829268293
n01-sor-et31-p05-c05.txt,Q8,7.95121951219512
n01-sor-et31-p05-c05.txt,Q9,8.075
n01-sor-et31-p06-c04.txt,Q1,7.325
n01-sor-et31-p06-c04.txt,Q2,7.075
n01-sor-et31-p06-c04.txt,Q3,7.2
n01-sor-et31-p06-c04.txt,Q4,8.175
n01-sor-et31-p06-c04.txt,Q5,7.425
n01-sor-et31-p06-c04.txt,Q6,6.975
n01-sor-et31-p06-c04.txt,Q7,8.3
n01-sor-et31-p06-c04.txt,Q8,7.65
n01-sor-et31-p06-c04.txt,Q9,7.55
n01-sor-et31-p06-c05.txt,Q1,7.38888888888889
n01-sor-et31-p06-c05.txt,Q2,5.44117647058824
n01-sor-et31-p06-c05.txt,Q3,6.31428571428571
n01-sor-et31-p06-c05.txt,Q4,7.44444444444444
n01-sor-et31-p06-c05.txt,Q5,7.69444444444444
n01-sor-et31-p06-c05.txt,Q6,7.75
n01-sor-et31-p06-c05.txt,Q7,7.97222222222222
n01-sor-et31-p06-c05.txt,Q8,7.97222222222222
n01-sor-et31-p06-c05.txt,Q9,7.86111111111111
n01-sor-et31-p06-c06.txt,Q1,5.825
n01-sor-et31-p06-c06.txt,Q2,8.8
n01-sor-et31-p06-c06.txt,Q3,7.475
n01-sor-et31-p06-c06.txt,Q4,7.65
n01-sor-et31-p06-c06.txt,Q5,4.89189189189189
n01-sor-et31-p06-c06.txt,Q6,3.92307692307692
n01-sor-et31-p06-c06.txt,Q7,7.675
n01-sor-et31-p06-c06.txt,Q8,5.82051282051282
n01-sor-et31-p06-c06.txt,Q9,4.8
n01-sor-et31-p07-c05.txt,Q1,7.625
n01-sor-et31-p07-c05.txt,Q2,6.71794871794872
n01-sor-et31-p07-c05.txt,Q3,7.325
n01-sor-et31-p07-c05.txt,Q4,8.2
n01-sor-et31-p07-c05.txt,Q5,7.82051282051282
n01-sor-et31-p07-c05.txt,Q6,7.71794871794872
n01-sor-et31-p07-c05.txt,Q7,8.15384615384615
n01-sor-et31-p07-c05.txt,Q8,7.87179487179487
n01-sor-et31-p07-c05.txt,Q9,7.92307692307692
n01-sor-et31-p07-c06.txt,Q1,6.81395348837209
n01-sor-et31-p07-c06.txt,Q2,8.18604651162791
n01-sor-et31-p07-c06.txt,Q3,7.90697674418605
n01-sor-et31-p07-c06.txt,Q4,8.34883720930233
n01-sor-et31-p07-c06.txt,Q5,6.53488372093023
n01-sor-et31-p07-c06.txt,Q6,5.62790697674419
n01-sor-et31-p07-c06.txt,Q7,7.93023255813954
n01-sor-et31-p07-c06.txt,Q8,6.65116279069768
n01-sor-et31-p07-c06.txt,Q9,5.48717948717949
n01-sor-et31-p07-c07.txt,Q1,7.35135135135135
n01-sor-et31-p07-c07.txt,Q2,7.75675675675676
n01-sor-et31-p07-c07.txt,Q3,7.64864864864865
n01-sor-et31-p07-c07.txt,Q4,7.97297297297297
n01-sor-et31-p07-c07.txt,Q5,7.16216216216216
n01-sor-et31-p07-c07.txt,Q6,6.45945945945946
n01-sor-et31-p07-c07.txt,Q7,7.97297297297297
n01-sor-et31-p07-c07.txt,Q8,7.43243243243243
n01-sor-et31-p07-c07.txt,Q9,7.10810810810811
n01-sor-et31-p08-c06.txt,Q1,6.55555555555556
n01-sor-et31-p08-c06.txt,Q2,7.84444444444444
n01-sor-et31-p08-c06.txt,Q3,7.48888888888889
n01-sor-et31-p08-c06.txt,Q4,7.84090909090909
n01-sor-et31-p08-c06.txt,Q5,6.36363636363636
n01-sor-et31-p08-c06.txt,Q6,5.53333333333333
n01-sor-et31-p08-c06.txt,Q7,7.82222222222222
n01-sor-et31-p08-c06.txt,Q8,6.88888888888889
